Categoria,Sub categoria 1,Sub categoria 2,OEM,FRAM,Tecfil,Wega,Mann,Mahle,Wix
Motor,Filtro,Filtro de Combustible,,C10026A,,FCD0771,PU723X,KX208D,WF8366
Motor,Filtro,Filtro de Combustible,,C10039,,,PU8013Z,KX78D,
Motor,Filtro,Filtro de Combustible,,C10194,,FCD0110,PU7002X,KX229,
Motor,Filtro,Filtro de Combustible,,C10308,,,PU825X,KX220D,
Motor,Filtro,Filtro de Combustible,23390-0L010,C10353,PC949,JFC207/2,PU835X,KX268D,WF8429
Motor,Filtro,Filtro de Combustible,,C10448,,,PU936/1X,KX228,WF8355
Motor,Filtro,Filtro de Combustible,,C10586,,,PU9003Z,KX393D,
Motor,Filtro,Filtro de Combustible,,C10635,,,,KX340D,
Motor,Filtro,Filtro de Combustible,,C10705,,FCD0771/2,PU723X,KX208D,WF8366
Motor,Filtro,Filtro de Combustible,,C10750,,FCD0771/2,PU723X,KX208D,WF8366
Motor,Filtro,Filtro de Combustible,,C10777,,,PU830X,KX85D,WF8256
Motor,Filtro,Filtro de Combustible,,C10778,,FCD0764,PU927X,KX331D,
Motor,Filtro,Filtro de Combustible,,C11045,,FCD0780,PU1033X,KX192D,
Motor,Filtro,Filtro de Combustible,,C11193,,,PU8008/1,KX342,
Motor,Filtro,Filtro de Combustible,,C11507,PC951,FCD0785,PU9008Z,KX385D,WF10279
Motor,Filtro,Filtro de Combustible,,C11574,,FCD0795,PU9011Z,KX338/26D,WF8489
Motor,Filtro,Filtro de Combustible,,C1166PL,,,,,
Motor,Filtro,Filtro de Combustible,,C11680,,FCD0793,PU7005,KX398,WF8494
Motor,Filtro,Filtro de Combustible,,C1173PL,,,,,
Motor,Filtro,Filtro de Combustible,,C1174PL,,,,,
Motor,Filtro,Filtro de Combustible,,C11748,,FCD0778,PU7004Z,KX399D,WF8495
Motor,Filtro,Filtro de Combustible,,C1175PL,,,P825/1,,
Motor,Filtro,Filtro de Combustible,,C11816PL,,,,,
Motor,Filtro,Filtro de Combustible,,C11846PL,,,,,
Motor,Filtro,Filtro de Combustible,,C11860PL,PC944,FCD0710,P707/6,KX35D,WF10261
Motor,Filtro,Filtro de Combustible,,C11860ZP,,,,,
Motor,Filtro,Filtro de Combustible,,C11861PL,,FCD0720,P811,KX36,33112E
Motor,Filtro,Filtro de Combustible,,C11861ZP,,,,,
Motor,Filtro,Filtro de Combustible,,C11864ZP,,,,,
Motor,Filtro,Filtro de Combustible,,C11909PL,,,,,
Motor,Filtro,Filtro de Combustible,,C1191,PC2155,FCD296,P917X,KX23,WF33166/3X
Motor,Filtro,Filtro de Combustible,,C1191AF,,,P917X,,WF33166/3X
Motor,Filtro,Filtro de Combustible,,C1192A,,,P917/1,,
Motor,Filtro,Filtro de Combustible,,C11950PLA,,,,,
Motor,Filtro,Filtro de Combustible,,C12360,,FCD0787,PU7012Z,,
Motor,Filtro,Filtro de Combustible,,C12749,,WOEEC001,H6003Z,HX132D,
Motor,Filtro,Filtro de Combustible,,C1660A,,,H1497/1,,51197
Motor,Filtro,Filtro de Combustible,,C1669,,,,,
Motor,Filtro,Filtro de Combustible,,C1723,,,,,
Motor,Filtro,Filtro de Combustible,,C175E,,,,,
Motor,Filtro,Filtro de Combustible,,C31PL,,,,,
Motor,Filtro,Filtro de Combustible,,C4635,,,,,
Motor,Filtro,Filtro de Combustible,,C4661,PC2255,FCD0796,P945/2,KX240,WF10278
Motor,Filtro,Filtro de Combustible,,C4880A,,,P939/1,,
Motor,Filtro,Filtro de Combustible,,C4881A,,,P939,,WF10590
Motor,Filtro,Filtro de Combustible,,C4986A,,FCD2204,WK880,KC90,
Motor,Filtro,Filtro de Combustible,,C11781,,FCD0727,PU7010Z,KX4200,
Motor,Filtro,Filtro de Combustible,,C5563,,FCD0722,P716,KX63/1,WF8021
Motor,Filtro,Filtro de Combustible,,C5783,,,P738X,,
Motor,Filtro,Filtro de Combustible,,C5932,PEC3021,FCD0769,PU999/1X,KX80/1D,WF36170
Motor,Filtro,Filtro de Combustible,,C5940,,FCD0726,P716/1X,KX79D,WF8014
Motor,Filtro,Filtro de Combustible,,C7523,,,,,
Motor,Filtro,Filtro de Combustible,,C7578,,,,,
Motor,Filtro,Filtro de Combustible,,C844PLA,,,PF815,,
Motor,Filtro,Filtro de Combustible,,C8820,,FCD0816/1,P733/1X,KX206D,
Motor,Filtro,Filtro de Combustible,,C8826,PEC3022,FCD0768,PU1046,KX67/2D,
Motor,Filtro,Filtro de Combustible,,C8826,PEC3022,FCD0768,PU1046,KX67/2D,
Motor,Filtro,Filtro de Combustible,,C8827,,FCD0766,PU1021X,KX84D,WF8177
Motor,Filtro,Filtro de Combustible,,C8837,,FCD0754,PU822X,KX81D,WF8254
Motor,Filtro,Filtro de Combustible,,C8981,,FCD0729,PU839X,KX70D,
Motor,Filtro,Filtro de Combustible,,C8990,,FCD0742,PU742,KX69,
Motor,Filtro,Filtro de Combustible,,C9517,PEC3022,FCD0791,PU941X,KX182/1D,WF10234
Motor,Filtro,Filtro de Combustible,,C9712,,FCD770,PU830X,KX85D,WF8256
Motor,Filtro,Filtro de Combustible,,C9766,,FCD0600,PU936/2X,KX178D,WF8308
Motor,Filtro,Filtro de Combustible,,C9771,,,,,
Motor,Filtro,Filtro de Combustible,,C9815,,FCD0772,PU1018X,KX201D,WF8321
Motor,Filtro,Filtro de Combustible,,C9927,PC947,,P718/1X,KX218D,WF10277
Motor,Filtro,Filtro de Combustible,,C9990,,FCD08161,P733/1X,KX206D,
Motor,Filtro,Filtro de Combustible,,C11723,PEC3029,FCD0777,,KX444D,
Motor,Filtro,Filtro de Combustible,,C1721,,,H1263/1,LX690,
Motor,Filtro,Filtro de Combustible,,C11812,,FCD0786,PU12003/1Z,KX387D,WF10208
Motor,Filtro,Filtro de Combustible,,CG8953,,,PU922X,,WF8195
Motor,Filtro,Filtro de Combustible,,CS11971,,FCD0797,PU9009Z,KX338/22D,WF8493
Motor,Filtro,Filtro de Combustible,,CS10145,,FCD0651,PU9006X,,
Motor,Filtro,Filtro de Combustible,,CS10965,,,,,
Motor,Filtro,Filtro de Combustible,,CS12054,PC953,JFC207/3,PU9023Z,,WF10562A
Motor,Filtro,Filtro de Combustible,,CS12054A,PC953,JFC207/3,PU9023Z,,WF10562A
Motor,Filtro,Filtro de Combustible,,CS12162,,FCD0603,PU8014,KX492,
Motor,Filtro,Filtro de Combustible,,CS3504,PD202,FCD0977,P1278/1,KX88/1D,
Motor,Filtro,Filtro de Combustible,,CS3558,PD204,FCD0978,P1234,KX89/1D,WF10289
Motor,Filtro,Filtro de Aire,,CA10013,,,,,
Motor,Filtro,Filtro de Aire,,CA10023,ARL8109,FAP9013,C25118/1,LX1765,WA10523
Motor,Filtro,Filtro de Aire,,CA10029,,WR200/9,C23610,,WA49783
Motor,Filtro,Filtro de Aire,,CA10030,ARS3902,WAP714,C25710/3,,
Motor,Filtro,Filtro de Aire,,CA10031,ARS5470,,C30810/3,LX3599,
Motor,Filtro,Filtro de Aire,,CA10050,,FAP9017,C2287,LX1652,
Motor,Filtro,Filtro de Aire,,CA10051,,FAP9118,C40163,LX1004,
Motor,Filtro,Filtro de Aire,,CA10057,,FAP6012,C35154,LX1482,WA49020
Motor,Filtro,Filtro de Aire,,CA10083,,JFA0H42,,,
Motor,Filtro,Filtro de Aire,,CA10084,ARL2333,JFA0H16,,LX2648,
Motor,Filtro,Filtro de Aire,,CA10085,ARL6099,FAP6012/2,C43102,LX2093,WA48090
Motor,Filtro,Filtro de Aire,,CA10086,ARL7710,JFA0H12,C2631,LX1785,
